Forename,Count
Keeley,2611
Beatrice,2604
Theodore,2602
Iqra,2561
Darcey,2559
Jenson,2536
Justin,2533
Austin,2531
Travis,2524
Drew,2519
Fraser,2506
Leila,2504
Craig,2491
Marley,2490
Kayden,2481
Regan,2475
Tara,2466
Jemima,2465
Sana,2464
Sydney,2460
NANCY,2427
Saffron,2427
Bilal,2420
Alan,2417
Kye,2387
Louisa,2356
Tiffany,2344
Macey,2340
Michelle,2335
Oliwia,2305
Dillon,2304
Daniella,2300
JADEN,2297
Aliyah,2290
Mustafa,2280
JESSIE,2273
Myles,2271
Liberty,2270
Alana,2267
Alexis,2265
Nikita,2262
JOSEPHINE,2256
Tabitha,2255
Scarlet,2242
Nina,2235
Filip,2232
Lennon,2232
Kelly,2232
Lucia,2216
Ruben,2211
Maia,2198
Kyra,2196
Hugo,2183
Ismail,2161
Albert,2158
Jesse,2152
Josie,2150
Jackson,2148
Ria,2125
Syed,2116
Joanna,2114
Ruth,2113
Umar,2110
Maja,2109
Tomas,2103
Zuzanna,2102
Will,2093
Destiny,2079
Philip,2071
Lottie,2066
Ellie-Mae,2058
Kaitlin,2056
Shania,2051
Katelyn,2050
Leighton,2047
Amaan,2046
Georgie,2044
Hasan,2035
Vanessa,2028
Beau,2022
Safa,2018
Aleena,2010
Saskia,2008
Helena,2007
Michaela,2005
Ellie-May,1996
MATEUSZ,1984
Kenzie,1972
Jasper,1964
Vincent,1963
Felicity,1963
Jemma,1963
Devon,1953
Oskar,1944
Khadija,1942
Zach,1942
Roman,1936
DEXTER,1933
Francis,1932
Troy,1929
Honey,1928
Violet,1924
Aleksandra,1921
Ayaan,1918
LUIS,1917
Kara,1914
Orla,1913
Dominik,1913
Lukas,1901
Nikola,1892
Elsie,1884
Carys,1881
Amie,1880
Hafsa,1872
Darcie,1870
Abbey,1828
Malachi,1813
BROOKLYN,1810
Leanne,1797
Tayla,1794
Layton,1793
LISA,1780
SINEAD,1769
Crystal,1768
Shauna,1754
Bryony,1752
Patryk,1752
Dawid,1743
Hana,1742
Kitty,1735
Flynn,1728
Helen,1717
TALIA,1703
Darren,1697
Trinity,1691
Christina,1691
Angus,1688
Alexia,1685
Mathew,1680
Lana,1674
Laiba,1666
Kaiden,1665
Frank,1661
Thea,1651
Carl,1646
Anisa,1644
Carla,1643
Warren,1642
Brendan,1640
April,1640
Maximilian,1637
Antonia,1636
Fiona,1630
Alesha,1629
Amira,1629
Iman,1628
Jaiden,1611
Sabrina,1608
Milo,1607
Clara,1604
Kiran,1602
Polly,1601
Kristian,1586
Salma,1581
Gabriela,1580
Sami,1574
Sky,1568
Michal,1564
Damian,1561
Cian,1554
Teddy,1552
Halima,1550
Cory,1549
Tamara,1548
Hanna,1547
Conner,1542
Jonah,1542
Serena,1539
Aryan,1536
Diana,1533
Claire,1528
Amir,1524
ALISTAIR,1521
Maddie,1520
Alina,1519
Tamzin,1514
Lawrence,1514
Brodie,1508
Shelby,1502
Aston,1501
PHILIPPA,1499
Marshall,1498
Tyrese,1488
Szymon,1486
Priya,1484
Bella,1483
Usman,1472
Gregory,1471
Iona,1460
Tiana,1459
Byron,1458
Jamal,1456
Robin,1454
Rosa,1450
Adil,1449
Brogan,1447
Tallulah,1446
Macie,1446
Benedict,1446
Xavier,1442
Iris,1440
Lloyd,1439
STEFAN,1430
Klaudia,1426
Solomon,1423
Sidney,1417
Aman,1414
Kirsten,1411
Imaan,1408
Hamzah,1407
Kyla,1403
Carly,1402
Alexa,1402
Haydn,1401
Haris,1399
Victor,1399
Jared,1399
Karl,1393
Jai,1388
Arjun,1385
Leonie,1384
Zaynab,1382
Karolina,1375
Jimmy,1374
Eric,1371
Erica,1368
